A0AUP1	0.360992	-0.0775284	0.0325038	0.171187	0.152769	0.0134718	-0.151889	0.0693762	<nodata>	-0.0345554	<nodata>	0.0521138	<nodata>	-0.41313	<nodata>	0.136422	<nodata>	-0.912281	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.00810028	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8CIZ8	0.129447	-0.0436545	-0.363997	-0.32612	0.119342	-0.0996418	-0.382201	-0.270579	-0.227247	-0.0853887	-0.0317017	-0.0700367	-0.514895	0.00556674	0.218378	-0.118252	0.196725	0.0135529	0.17823	<nodata>	0.123589	0.0950277	<nodata>	-0.164319	0.112217	-0.335452	-0.511355	-0.132871	-0.110892	-0.0841544	-0.499946	-0.0888621	-0.25177	-0.605191	-0.251626	-0.0115564	-0.234708	0.0542468	-0.221856	-0.156703	-0.286248	-0.136766
Q8CJ53	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.314847	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8CJ96	-0.0661541	-0.116367	-0.102249	0.0389594	-0.0323239	-0.0588042	-0.116964	-0.418238	-0.366006	0.16392	-0.241352	-0.0262696	-0.473542	0.141304	-0.134884	0.0428222	-0.351993	0.200073	-0.350128	0.313208	-0.0471364	-0.256163	-0.036847	0.0431396	0.361807	0.123961	-0.0308549	-0.158299	-0.0359195	-0.202749	-0.0982725	-0.303568	-0.28415	-0.310389	-0.473705	1.06691	-0.14266	-0.385843	-0.488324	1.00681	0.178863	-0.739284
Q8CJC2	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.133907	-0.176037	-0.0471884	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8CJF8	0.017646	<nodata>	-0.182536	<nodata>	<nodata>	-0.183162	<nodata>	0.724558	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8CJF9	0.017646	<nodata>	-0.182536	<nodata>	<nodata>	-0.183162	<nodata>	0.724558	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.206045	0.241033	0.102977	0.463487	0.0344766	0.209054	0.331491	0.396001
Q8CJG0	0.017646	<nodata>	-0.182536	<nodata>	<nodata>	-0.183162	<nodata>	0.724558	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.406172	<nodata>	<nodata>	-0.159729	-0.703371	-0.327456	-1.09944	-0.520115	-1.41529	-1.42044	<nodata>
Q8CJG1	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.753815	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0444181	<nodata>	-0.411549	<nodata>	-0.416063	-0.111241	-1.4935	<nodata>	0.406172	<nodata>	<nodata>	0.376428	-0.207979	-1.34839	0.310173	2.88613	-0.516824	-1.36079	0.896279
Q8JZK9	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.323899	-0.128359	-0.089949	-0.166685	-0.157142	-0.068475	-0.0626714	-0.278403	-0.085232	0.0658945	-0.271624	<nodata>	<nodata>	<nodata>	<nodata>	0.0600666	0.0799901	-0.118198	-0.121266	-0.618899	-0.0347912	0.180039	-0.185434	<nodata>	<nodata>	<nodata>	0.159777	0.104265	-0.0313944	-0.0594294	0.112712	-0.110609	-0.0234889	-0.136012
Q8JZN5	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.353835	0.00344801	-0.0529861	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.282603	-0.492822	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8JZQ2	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8JZQ9	0.118413	0.161112	0.24915	0.197315	0.0368095	0.0781334	0.183883	-0.0791783	-0.658551	0.241187	0.894257	0.11129	-0.2272	0.732218	0.983464	<nodata>	-0.22426	0.622632	0.872557	-0.635076	0.11519	0.278921	0.52724	0.0706526	0.0462149	0.0846446	-0.0581898	0.0890194	-0.185	0.149651	-0.0585731	-0.203617	-0.31467	0.144358	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8JZR0	0.223038	-0.260443	0.0206512	<nodata>	0.221597	-0.362935	-0.313844	0.333926	0.00233081	0.34288	-0.359252	<nodata>	-0.173007	0.0667981	-0.426814	<nodata>	0.287354	-0.148817	-0.197968	<nodata>	0.154407	-0.264563	<nodata>	-0.138356	-0.00987208	-0.030689	0.629601	-0.156692	-0.183704	-0.112638	-0.0545736	-0.159406	0.0415622	-0.254922	0.117824	-0.015806	-0.199894	<nodata>	0.216111	0.143911	0.0722775	<nodata>
Q8JZS0	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.00482277	-0.127076	-0.145202	0.219028	0.093545	-0.112518	0.168668	0.222757	0.0966191	-0.083986	0.063383
Q8JZV7	-0.102367	-0.461964	-0.277263	-0.29647	-0.164158	-0.250786	-0.514064	-0.333956	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.269405	-0.335604	0.0973921	-0.188666	0.588079	0.00170531	<nodata>	0.28899	<nodata>	<nodata>	<nodata>	<nodata>	-0.109225	-0.0551919	-0.172881	<nodata>	0.130192	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8JZW4	<nodata>	<nodata>	0.0804344	<nodata>	<nodata>	<nodata>	-0.279048	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.139877	0.0204707	-0.025826	-0.313452	0.0582165	0.0952893	-0.0313614	-0.312335
Q8JZY2	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K003	0.0669556	0.122422	0.0475702	0.128935	0.0680912	-0.00838968	0.154059	0.154	<nodata>	0.113145	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.09628	-0.23701	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0704845	0.345515	-0.2817	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K009	<nodata>	-0.488641	<nodata>	<nodata>	<nodata>	-0.179685	0.396769	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.121367	0.875033	-0.37032	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K010	-0.102657	<nodata>	<nodata>	<nodata>	-0.27584	<nodata>	<nodata>	<nodata>	<nodata>	0.273082	-0.00431645	<nodata>	<nodata>	0.470232	0.0456455	<nodata>	<nodata>	0.051936	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.138119	0.458468	0.166083	<nodata>	<nodata>	<nodata>	<nodata>	-0.029663	0.225744	<nodata>	-0.195481	-0.372175	-0.130201	-0.363622	-0.0692913	-0.138963	-0.0326152	<nodata>
Q8K012	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.788248	<nodata>	<nodata>	<nodata>	0.703988	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.144898	<nodata>	<nodata>	<nodata>	0.0787072	<nodata>	<nodata>	<nodata>
Q8K019	-0.280358	0.0822188	-0.709308	-0.100694	-0.0637853	0.340083	-0.806946	0.0888754	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.795737	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K023	-0.118956	-0.04227	-0.254996	-0.0831115	-0.0315872	0.0356826	-0.16962	-0.116083	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.163744	-0.00662798	-0.0244705	-0.317003	-0.0975847	0.0761673	-0.109994	-0.319396	-0.194498	0.0560395	-0.213687	<nodata>	-1.10059	-0.746824	0.717577	<nodata>	-0.292065	-0.238964	0.488188
Q8K0E8	0.26258	-0.359687	0.124763	0.600405	0.129904	-0.111623	0.282817	0.516736	0.264789	0.0219846	0.409285	0.692044	-0.0241369	0.259431	0.62759	0.75957	0.0923744	0.588338	0.707799	-0.676368	0.242573	0.333933	0.396941	0.0409156	-0.0552556	0.0900401	0.546875	-0.122565	0.0796078	0.486043	0.666934	-0.0199656	0.340051	0.680162	-0.306224	0.0380089	0.0645488	0.607286	-0.199947	-0.127527	0.144606	0.887871
Q8K0L9	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.553586	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K0U4	0.516339	0.170474	0.440078	-0.511471	0.375374	-0.0219429	-0.134405	-0.574489	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.13883	-0.205467	<nodata>	<nodata>	<nodata>	<nodata>	-0.552397	-0.179038	0.569255	-0.0436762	-0.0845472	-0.345598	0.528774	-0.255208	0.393347
Q8K0V4	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.239982	-0.587915	-0.521918	-0.46611	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K0Z7	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0776	-0.477695	-0.314583	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K124	0.0948063	<nodata>	<nodata>	<nodata>	0.737996	<nodata>	0.414432	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.114254	<nodata>	<nodata>	<nodata>	<nodata>	-0.879472	-0.307293	<nodata>
Q8K182	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K183	-0.0177287	0.195376	0.108866	-0.328552	-0.0389976	-0.00138822	-0.0980372	-0.339371	0.0432034	0.320763	-0.00641821	-0.439867	-0.136116	0.122148	-0.200931	-0.466625	0.200626	0.0808843	-0.235472	0.334965	0.0994035	-0.154106	0.0681696	0.0758969	0.239726	-0.113924	-0.291837	-0.0523708	-0.197673	-0.317486	-0.475833	-0.110803	-0.245871	-0.801468	0.0757557	-0.0087072	-0.367441	-0.0290782	-0.0914622	-0.0834643	-0.343919	0.00792943
Q8K1B8	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0779212	0.0821351	<nodata>	<nodata>	0.134038	0.402283	0.743414	<nodata>	0.0535366	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.438866	0.227134	0.0684898	<nodata>	-0.257273	0.105317	0.520182	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K1B9	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.099556	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K1E0	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.722402	<nodata>	<nodata>	<nodata>	<nodata>	-0.233537	0.128771	0.133669	-0.221272	-0.019564	0.0495505	0.143487	-0.214404
Q8K1I3	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K1M6	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.766927	<nodata>	<nodata>	<nodata>	0.0331592	<nodata>	<nodata>	<nodata>	0.0776667	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.439471	<nodata>	0.344497	<nodata>	<nodata>	<nodata>	-0.0200218	<nodata>	-0.105048	-0.220652	<nodata>	-0.175164	-0.641343	-0.36117	-0.0940699	-0.14583	-0.0271793	-0.117621	-0.114967	-0.0189055	-0.00209695	-0.0829582
Q8K1N2	-0.335645	0.318992	0.149884	0.546372	0.0320762	0.290344	0.319631	0.584953	<nodata>	-0.450191	<nodata>	<nodata>	<nodata>	0.190358	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0954749	0.262898	0.322929	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K1R3	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K212	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.169063	0.158361	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K221	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.100203	<nodata>	0.00816906	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.648299	0.262847	-0.346613	-0.927478	-0.335872	-0.613074	-0.484747	-0.973162
Q8K274	0.287688	<nodata>	-0.150427	-0.3528	0.256699	<nodata>	-0.0255106	0.28833	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.114793	-0.242442	-0.678253	<nodata>	<nodata>	1.72106	0.00146695	<nodata>	<nodata>	1.13318	<nodata>
Q8K296	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0464963	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K2B3	-0.0831396	0.0871431	-0.128071	-0.127218	-0.0207203	-0.0221482	-0.125263	-0.240524	-0.313047	0.0548448	-0.213767	-0.193824	-0.121046	0.18621	-0.297667	-0.363821	-0.0096332	0.192924	-0.425942	<nodata>	0.0569683	0.0613714	-0.0507772	0.10029	0.0755618	0.0277482	-0.168887	-0.050044	-0.100888	-0.0295128	-0.329717	-0.156931	-0.19305	-0.385118	-0.0136066	0.12171	-0.0723224	-0.411271	0.035538	0.0688196	-0.255766	-0.362155
Q8K2C7	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K2C9	0.059633	-0.287508	<nodata>	<nodata>	-0.107593	-0.408242	<nodata>	<nodata>	0.283867	0.830947	0.309777	<nodata>	<nodata>	0.201506	-0.07508	<nodata>	0.436623	0.181399	-0.174836	<nodata>	<nodata>	-0.385545	0.0772166	<nodata>	<nodata>	<nodata>	<nodata>	-0.180734	-0.469533	<nodata>	0.0917826	-0.552133	-0.685848	-0.646467	-0.178145	0.200357	<nodata>	<nodata>	0.000771825	0.300822	-0.178268	<nodata>
Q8K2F0	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0713515	0.0422715	-0.110638	-0.352122	-0.129713	-0.123635	0.146349	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K2F8	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K2I2	<nodata>	-0.0891571	-0.0227748	<nodata>	<nodata>	0.0971951	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.370452	<nodata>	0.571678	0.190261
Q8K2I3	0.294588	-0.161124	-0.213436	-0.246974	0.152177	-0.101342	-0.248243	-0.489838	0.0588298	0.174194	-0.118558	-0.0948549	-0.178369	0.0113869	-0.250455	-0.233566	0.123976	-0.0901318	-0.414673	0.0585301	-0.0301256	0.0431713	-0.224051	0.045497	0.0576182	-0.0862163	-0.338605	-0.0307115	-0.0288405	-0.133803	-0.251901	-0.187102	-0.127278	-0.29983	-0.00892312	0.00408466	-0.299664	-0.435517	-0.179698	-0.00547251	-0.351643	-0.220508
Q8K2K6	-0.0551153	-0.0998836	0.0777392	0.0183494	-0.141626	-0.0104357	-0.0923128	-0.132398	-0.274558	0.17036	-0.0295341	-0.247901	-0.595635	0.175806	-0.30666	-0.409683	0.0163737	0.118426	-0.249183	<nodata>	0.10417	0.0638742	-0.0968758	-0.129874	0.191989	-0.248791	-0.389627	0.0779577	-0.0887964	-0.27191	0.0685742	-0.132586	-0.157943	-0.320025	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K2L8	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0153781	-0.339458	-0.578095	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K2M0	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.140537	-0.222518	-0.288342	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q8K2Q0	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-1.25791	-0.717651	0.0869094	-0.132807	-0.554639	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
